_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude,nearest_station_0,dist_to_station_0
117612,415000.0,2022,12,2022-12-01,West,Choa Chu Kang,3.0,14.0,67.0,93.41666666666667,16.4,1.37580545998649,103.744793478077,Choa Chu Kang MRT,1.06
117610,295000.0,2022,12,2022-12-01,West,Choa Chu Kang,2.0,8.0,47.0,91.25,16.23,1.38329360087486,103.753025884378,Choa Chu Kang MRT,0.99
117609,318000.0,2022,12,2022-12-01,West,Choa Chu Kang,2.0,8.0,46.0,87.91666666666667,17.58,1.39133994451668,103.743931875351,Choa Chu Kang MRT,0.66
117608,302000.0,2022,12,2022-12-01,West,Choa Chu Kang,2.0,8.0,47.0,93.41666666666667,16.4,1.37580545998649,103.744793478077,Choa Chu Kang MRT,1.06
117607,1280000.0,2022,12,2022-12-01,Central,Central Area,5.0,14.0,106.0,87.16666666666667,2.31,1.27779940676005,103.841403430465,Outram Park MRT,0.3
117606,735000.0,2022,12,2022-12-01,Central,Central Area,4.0,11.0,83.0,56.5,2.17,1.27727257328258,103.842917174799,Tanjong Pagar MRT,0.32
117605,570000.0,2022,12,2022-12-01,Central,Central Area,4.0,5.0,75.0,79.25,2.85,1.30882069575537,103.852065291651,Little India MRT,0.35
117604,980000.0,2022,12,2022-12-01,Central,Central Area,4.0,11.0,93.0,87.16666666666667,2.38,1.27662168427368,103.841156142262,Tanjong Pagar MRT,0.51
117603,1230000.0,2022,12,2022-12-01,Central,Central Area,4.0,32.0,93.0,87.16666666666667,2.34,1.27692023401394,103.841485785921,Tanjong Pagar MRT,0.47
117602,1228000.0,2022,12,2022-12-01,Central,Central Area,4.0,44.0,95.0,87.16666666666667,2.31,1.27779940676005,103.841403430465,Outram Park MRT,0.3
117601,508000.0,2022,12,2022-12-01,Central,Central Area,3.0,8.0,72.0,61.666666666666664,2.42,1.30570669675965,103.854943251549,Jalan Besar MRT,0.07
117600,420000.0,2022,12,2022-12-01,Central,Central Area,3.0,11.0,65.0,51.666666666666664,2.09,1.2862352148315,103.842303340846,Chinatown MRT,0.39
117599,390000.0,2022,12,2022-12-01,Central,Central Area,3.0,17.0,57.0,50.666666666666664,2.04,1.28180062242257,103.842908159495,Chinatown MRT,0.37
117598,418000.0,2022,12,2022-12-01,Central,Central Area,3.0,11.0,66.0,58.166666666666664,2.49,1.2876742577682,103.838857901085,Clarke Quay MRT,0.86
117597,370000.0,2022,12,2022-12-01,Central,Central Area,3.0,11.0,66.0,58.166666666666664,2.49,1.2876742577682,103.838857901085,Clarke Quay MRT,0.86
117596,428000.0,2022,12,2022-12-01,Central,Central Area,3.0,5.0,75.0,60.916666666666664,2.75,1.30758124026887,103.851478219734,Little India MRT,0.22
117595,308000.0,2022,12,2022-12-01,Central,Central Area,2.0,17.0,54.0,47.666666666666664,2.47,1.28731262587884,103.83894413686,Outram Park MRT,0.84
117594,310000.0,2022,12,2022-12-01,Central,Central Area,2.0,11.0,53.0,47.666666666666664,2.45,1.2869738344398,103.839075823483,Outram Park MRT,0.8
117593,1300000.0,2022,12,2022-12-01,Central,Bukit Timah,5.5,11.0,150.0,64.75,11.28,1.33917480423577,103.775341419034,Beauty World MRT,0.23
117592,1290800.0,2022,12,2022-12-01,Central,Bukit Timah,5.5,2.0,150.0,64.75,11.26,1.33877430429858,103.775254200454,Beauty World MRT,0.28
117591,990000.0,2022,12,2022-12-01,Central,Bukit Timah,5.0,14.0,123.0,50.416666666666664,6.94,1.31380652723129,103.80574833131,Holland Village MRT,1.05
117590,615000.0,2022,12,2022-12-01,Central,Bukit Timah,4.0,5.0,104.0,64.83333333333333,11.54,1.33908702611922,103.772569349944,Beauty World MRT,0.43
117589,588000.0,2022,12,2022-12-01,Central,Bukit Timah,4.0,5.0,91.0,50.416666666666664,6.97,1.31833337221312,103.808097181789,Botanic Gardens MRT,0.93
117588,795000.0,2022,12,2022-12-01,West,Bukit Panjang,5.5,20.0,130.0,78.08333333333333,15.48,1.38251965138698,103.761516280011,Bukit Panjang MRT,0.39
117587,820000.0,2022,12,2022-12-01,West,Bukit Panjang,5.5,20.0,132.0,78.16666666666667,15.48,1.38251965138698,103.761516280011,Bukit Panjang MRT,0.39
117586,570000.0,2022,12,2022-12-01,West,Bukit Panjang,5.5,2.0,133.0,78.66666666666667,15.0,1.38722762877204,103.772790109806,Fajar LRT,0.36
117585,628000.0,2022,12,2022-12-01,West,Bukit Panjang,5.5,8.0,130.0,78.5,14.94,1.38694295549199,103.773299109481,Fajar LRT,0.38
117584,755000.0,2022,12,2022-12-01,West,Bukit Panjang,5.5,2.0,145.0,64.58333333333333,14.48,1.37581593705491,103.767563450683,Cashew MRT,0.75
117583,810000.0,2022,12,2022-12-01,West,Bukit Panjang,5.5,8.0,142.0,75.33333333333333,15.44,1.38502101583684,103.764557963179,Fajar LRT,0.71
117582,730000.0,2022,12,2022-12-01,West,Bukit Panjang,5.5,2.0,143.0,74.91666666666667,15.51,1.38697502782658,103.765700895316,Fajar LRT,0.64
117581,750000.0,2022,12,2022-12-01,West,Bukit Panjang,5.5,14.0,140.0,73.58333333333333,14.93,1.38541423920397,103.771680832909,Fajar LRT,0.13
117580,928000.0,2022,12,2022-12-01,West,Bukit Panjang,5.5,11.0,150.0,64.58333333333333,14.24,1.37404915665664,103.768885136299,Cashew MRT,0.68
117579,855000.0,2022,12,2022-12-01,West,Bukit Panjang,5.5,11.0,146.0,64.41666666666667,14.29,1.37959332744982,103.773854600016,Bangkit LRT,0.14
117578,500000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,2.0,110.0,80.91666666666667,15.9,1.38662658656793,103.760257710151,Bukit Panjang MRT,0.85
117577,603000.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,11.0,110.0,80.91666666666667,15.9,1.38662658656793,103.760257710151,Bukit Panjang MRT,0.85
117576,552500.0,2022,12,2022-12-01,West,Bukit Panjang,5.0,17.0,110.0,77.83333333333333,15.64,1.38761134448697,103.764588708773,Fajar LRT,0.78
