_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease
150072,298000.0,2023,4,2023-04-01,North-East,Ang Mo Kio,2.0,8.0,44.0,53.75
152257,865000.0,2023,4,2023-04-01,North,Yishun,5.5,11.0,142.0,63.833333333333336
152256,780000.0,2023,4,2023-04-01,North,Yishun,5.5,11.0,142.0,62.166666666666664
152255,935000.0,2023,4,2023-04-01,North,Yishun,5.5,5.0,164.0,68.16666666666667
152254,892000.0,2023,4,2023-04-01,North,Yishun,5.5,2.0,169.0,68.33333333333333
152253,808000.0,2023,4,2023-04-01,North,Yishun,5.5,2.0,154.0,61.166666666666664
152252,790000.0,2023,4,2023-04-01,North,Yishun,5.5,5.0,142.0,64.25
152250,1051800.0,2023,4,2023-04-01,North,Yishun,5.5,5.0,181.0,68.16666666666667
152249,928888.88,2023,4,2023-04-01,North,Yishun,5.5,8.0,181.0,68.16666666666667
152248,660000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,127.0,63.916666666666664
152247,670000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,122.0,64.33333333333333
152246,640000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,127.0,63.916666666666664
152245,628888.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,123.0,64.25
152244,680000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,113.0,93.83333333333333
152243,638000.0,2023,4,2023-04-01,North,Yishun,5.0,14.0,112.0,91.58333333333333
152242,550000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,122.0,62.583333333333336
152241,568000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,121.0,61.166666666666664
152240,638000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,125.0,61.25
152239,600000.0,2023,4,2023-04-01,North,Yishun,5.0,5.0,121.0,60.916666666666664
152238,710000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,113.0,94.5
152237,728000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,136.0,70.91666666666667
152236,700000.0,2023,4,2023-04-01,North,Yishun,5.0,5.0,113.0,94.58333333333333
152235,682888.0,2023,4,2023-04-01,North,Yishun,5.0,14.0,113.0,91.83333333333333
152234,590000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,121.0,62.916666666666664
152233,603888.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,122.0,64.25
152232,650000.0,2023,4,2023-04-01,North,Yishun,5.0,11.0,122.0,64.25
152231,680000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,113.0,91.83333333333333
152230,685000.0,2023,4,2023-04-01,North,Yishun,5.0,11.0,113.0,91.83333333333333
152229,715000.0,2023,4,2023-04-01,North,Yishun,5.0,11.0,112.0,94.58333333333333
152228,648000.0,2023,4,2023-04-01,North,Yishun,5.0,2.0,112.0,94.58333333333333
152227,618000.0,2023,4,2023-04-01,North,Yishun,5.0,8.0,122.0,64.33333333333333
152226,648000.0,2023,4,2023-04-01,North,Yishun,5.0,11.0,112.0,91.0
152225,580000.0,2023,4,2023-04-01,North,Yishun,5.0,5.0,112.0,91.41666666666667
152224,540000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,103.0,64.58333333333333
152223,420000.0,2023,4,2023-04-01,North,Yishun,4.0,2.0,84.0,63.5
152222,535000.0,2023,4,2023-04-01,North,Yishun,4.0,11.0,104.0,64.25
152221,515000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,104.0,64.33333333333333
152220,500000.0,2023,4,2023-04-01,North,Yishun,4.0,8.0,104.0,63.833333333333336
