_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude,nearest_station_0,dist_to_station0
152256,275000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,2.0,2.0,44.0,53.75,9.23,1.36622707120636,103.850085858983,Ang Mo Kio MRT,0.41
152257,300000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,2.0,8.0,45.0,61.75,10.45,1.37469423247424,103.836462867365,Mayflower MRT,0.36
152258,348000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,11.0,67.0,53.75,9.62,1.36739612776859,103.838150007464,Mayflower MRT,0.48
152259,330000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,2.0,68.0,56.75,10.17,1.37529376778898,103.855452425625,Ang Mo Kio MRT,0.88
152260,400000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,8.0,67.0,54.75,9.38,1.36807652285135,103.854353042615,Ang Mo Kio MRT,0.57
152261,415000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,14.0,74.0,55.333333333333336,9.03,1.36495953274783,103.855197097728,Ang Mo Kio MRT,0.83
152262,385000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,8.0,67.0,55.75,9.74,1.37138855070768,103.855953346739,Ang Mo Kio MRT,0.73
152263,415000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,11.0,82.0,55.833333333333336,9.71,1.37123613284274,103.859192016193,Ang Mo Kio MRT,1.08
152264,346000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,5.0,67.0,54.75,9.2,1.36642789831215,103.854311491141,Ang Mo Kio MRT,0.66
152265,380888.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,5.0,67.0,55.25,8.73,1.36238829184688,103.857880564737,Ang Mo Kio MRT,1.25
152266,367000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,5.0,74.0,55.333333333333336,8.99,1.3645417089084,103.855103690549,Ang Mo Kio MRT,0.86
152267,363000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,2.0,67.0,55.25,9.21,1.36660045321147,103.855578790668,Ang Mo Kio MRT,0.76
152268,352888.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,8.0,67.0,53.0,9.57,1.36844644010937,103.844516260527,Ang Mo Kio MRT,0.58
152269,388000.0,2023,5,2023-05-01,North-East,Ang Mo Kio,3.0,11.0,67.0,54.5,9.73,1.36970563478325,103.843515981311,Ang Mo Kio MRT,0.67
