_id,resale_price,year,month,year_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,address,dist_to_marina_bay,latitude,longitude,postal_code,nearest_station_0,dist_to_station_0
169162,288000.0,2024,1,2024-01,North-East,Ang Mo Kio,2.0,8.0,44.0,53.5,"116, Ang Mo Kio Avenue 4",10.31,1.37334635014911,103.8364593481,560116,Mayflower MRT,0.21
169163,322500.0,2024,1,2024-01,North-East,Ang Mo Kio,2.0,5.0,44.0,55.583333333333336,"510, Ang Mo Kio Avenue 8",10.03,1.37340092645025,103.849073244454,560510,Ang Mo Kio MRT,0.39
169164,520000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,2.0,70.0,87.75,"308B, Ang Mo Kio Avenue 1",9.23,1.3652661423815,103.844538059044,562308,Ang Mo Kio MRT,0.76
169165,650000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,26.0,70.0,87.75,"308B, Ang Mo Kio Avenue 1",9.23,1.3652661423815,103.844538059044,562308,Ang Mo Kio MRT,0.76
169166,343800.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,5.0,67.0,53.083333333333336,"223, Ang Mo Kio Avenue 1",9.48,1.36604808445916,103.838122716883,560223,Mayflower MRT,0.62
169167,450000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,2.0,88.0,52.5,"319, Ang Mo Kio Avenue 1",9.16,1.36511023350774,103.847379037914,560319,Ang Mo Kio MRT,0.59
169168,380000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,11.0,68.0,56.083333333333336,"333, Ang Mo Kio Avenue 1",8.68,1.3613425564061,103.851698621454,560333,Ang Mo Kio MRT,0.98
169169,600888.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,14.0,70.0,87.66666666666667,"307C, Ang Mo Kio Avenue 1",9.25,1.36556100435161,103.845169497182,563307,Ang Mo Kio MRT,0.69
169170,340000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,5.0,68.0,55.166666666666664,"462, Ang Mo Kio Avenue 10",9.24,1.36695558620194,103.858031320467,560462,Ang Mo Kio MRT,1.0
169171,375000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,8.0,68.0,55.083333333333336,"559, Ang Mo Kio Avenue 10",9.69,1.37099810674697,103.857856391877,560559,Ang Mo Kio MRT,0.93
169172,418000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,11.0,67.0,54.083333333333336,"440, Ang Mo Kio Avenue 10",9.21,1.36642789831215,103.854311491141,560440,Ang Mo Kio MRT,0.66
169173,408000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,11.0,67.0,54.083333333333336,"441, Ang Mo Kio Avenue 10",9.17,1.36605027829032,103.854168309853,560441,Ang Mo Kio MRT,0.67
169174,350000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,2.0,68.0,55.083333333333336,"557, Ang Mo Kio Avenue 10",9.76,1.3716257020332,103.857736107527,560557,Ang Mo Kio MRT,0.93
169175,340000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,2.0,67.0,54.083333333333336,"440, Ang Mo Kio Avenue 10",9.21,1.36642789831215,103.854311491141,560440,Ang Mo Kio MRT,0.66
169176,367000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,2.0,68.0,56.083333333333336,"554, Ang Mo Kio Avenue 10",9.89,1.37282000844329,103.857784026362,560554,Ang Mo Kio MRT,0.97
169177,365000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,5.0,75.0,55.083333333333336,"457, Ang Mo Kio Avenue 10",9.1,1.36569761910875,103.858941954115,560457,Ang Mo Kio MRT,1.14
169178,358000.0,2024,1,2024-01,North-East,Ang Mo Kio,3.0,2.0,68.0,55.166666666666664,"462, Ang Mo Kio Avenue 10",9.24,1.36695558620194,103.858031320467,560462,Ang Mo Kio MRT,1.0
